p_id_all,player,team,fg,fga,points
0,A. Asistio,ADMU,35,89,98
1,A. Beltran,UE,7,15,14
2,A. Black,ADMU,8,23,17
3,A. Caracut,DLSU,46,127,104
4,A. Diputado,NU,17,43,35
5,A. Inigo,FEU,18,58,46
6,A. Joson,NU,19,51,40
7,A. Kouame,ADMU,80,132,161
8,A. Melecio,DLSU,78,203,188
9,A. Pasaol,UE,125,294,273
10,A. Stockton,FEU,22,49,47
11,A. Tolentino,FEU,51,117,127
12,A. Wong,ADMU,9,47,22
13,B. Akhuetie,UP,106,177,212
14,B. Andrade,ADMU,6,15,17
15,B. Bates,DLSU,16,22,32
16,B. Bienes,FEU,19,52,53
17,B. Ebona,FEU,31,51,62
18,C. Cansino,UST,51,115,116
19,C. Catapusan,ADU,14,43,29
20,C. Conner,UE,33,81,76
21,C. Jopia,FEU,1,1,2
22,C. Lacap,UE,2,10,4
23,C. Vito,UP,14,30,31
24,D. Ando,UST,1,3,2
25,D. Dario,UP,17,35,44
26,D. Ildefonso,NU,80,195,183
27,D. Longa,UP,0,2,0
28,D. Murrell,UP,16,36,32
29,D. Yu,NU,15,53,41
30,E. Caunan,UST,16,44,32
31,E. Mojica,ADU,7,36,18
32,F. Jaboneta,UP,10,31,23
33,F. Serrano,DLSU,33,89,74
34,F. Tungcab,UP,3,10,7
35,G. Capacio,DLSU,0,5,0
36,G. Mahinay,UST,23,57,46
37,G. Mamuyac,ADMU,16,32,35
38,H. Cani,FEU,49,120,109
39,I. Batalier,UST,9,31,20
40,I. Gaye,NU,32,79,64
41,I. Go,ADMU,28,73,65
42,I. Maata,ADU,0,1,0
43,J. Ahanmisi,ADU,86,194,212
44,J. Antiporda,UE,4,25,12
45,J. Baltazar,DLSU,71,149,144
46,J. Clemente,NU,65,165,161
47,J. Colonia,ADU,4,22,8
48,J. Cullar,UE,19,44,41
49,J. Espeleta,ADU,27,80,59
50,J. Galinato,NU,8,22,16
51,J. Gallego,NU,20,65,44
52,J. Go,DLSU,17,37,48
53,J. Lagumen,UST,1,6,2
54,J. Lastimosa,ADU,37,81,86
55,J. Lim,UP,3,17,7
56,J. Manuel,DLSU,13,46,32
57,J. Manzo,UP,37,96,78
58,J. Marcos,UST,18,48,40
59,J. Mendoza,ADMU,19,55,52
60,J. Nieto,ADMU,11,37,27
61,J. Nunag,FEU,3,4,8
62,J. Parker,FEU,29,94,64
63,J. Pingoy,ADU,14,50,39
64,J. Prado,UP,12,21,24
65,J. Sinclair,NU,17,35,35
66,J. Sobrevega,UE,2,5,5
67,J. Spencer,UP,1,5,2
68,J. Strait,UE,9,18,21
69,J. Tibayan,NU,6,12,12
70,J. Varilla,UE,39,111,91
71,Ja. Gomez de Liaño,UP,43,94,98
72,Ju. Gomez de Liaño,UP,78,180,179
73,K. Bayquin,FEU,2,9,4
74,K. Bernardo,ADU,10,21,20
75,K. Montalbo,DLSU,19,61,41
76,K. Samuel,DLSU,7,17,14
77,K. Tuffin,FEU,26,58,69
78,K. Zaldivar,ADU,7,15,14
79,K. Zamora,UST,14,76,39
80,L. Gonzales,FEU,17,41,38
81,L. Guion,UE,1,3,2
82,L. Santillian,DLSU,61,141,128
83,M. Aquino,NU,11,34,25
84,M. Bonleon,UST,5,18,11
85,M. Corteza,DLSU,2,12,4
86,M. Daves,ADMU,7,9,14
87,M. Dyke,DLSU,22,50,46
88,M. Lee,UST,59,176,162
89,M. Macion,ADU,1,5,2
90,M. Maloles,UE,12,42,29
91,M. Malonzo,NU,2,7,4
92,M. Nieto,ADMU,28,71,67
93,M. Salim,NU,6,12,13
94,N. Consejo,UST,8,24,17
95,P. Desiderio,UP,72,176,168
96,P. Manalang,UE,44,135,103
97,P. Orizu,FEU,37,51,74
98,P. Sarr,ADU,54,146,108
99,R. Acuno,UE,9,28,18
100,R. Escoto,FEU,34,93,69
101,R. Gallardo,UE,7,15,15
102,R. Morido,NU,5,17,10
103,R. Ramirez,FEU,6,15,15
104,R. Subido,UST,62,197,166
105,R. Verano,ADMU,40,96,88
106,S. Akomo,UST,15,28,30
107,S. Belangel,ADMU,18,50,40
108,S. Camacho,ADU,34,75,68
109,S. Gagate,UE,2,9,4
110,S. Ildefonso,NU,32,90,65
111,S. Manganti,ADU,71,172,157
112,T. Agustin,UST,9,24,19
113,T. Ravena,ADMU,54,139,121
114,T. Rike,NU,39,88,79
115,T. Tio,ADMU,23,67,54
116,V. Magbuhos,ADU,19,38,38
117,W. Bartolome,UE,32,69,64
118,W. Comboy,FEU,42,119,102
119,W. Gozum,UP,5,16,10
120,W. Magbuhos,ADU,0,2,0
121,W. Navarro,ADMU,21,66,43
122,Z. Huang,UST,40,101,81
