p_id_retained,b1,b2,b3,b4,b5,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
4,0.0015210794523275205,0.011368367436079748,0.005784233457130378,0.012565924543312587,0.004084292447932912,J. Ahanmisi,ADU,0.04306091816045464,0.3218321955726484,0.16374845057391774,0.3557343750466503,0.11562406064632895
9,0.008572727080852726,0.00485674996291808,0.004389091649341962,0.006020325873123121,0.007868643356675687,S. Manganti,ADU,0.2703687401303446,0.15317335501501167,0.13842423401062762,0.1898704935009441,0.24816317734307203
12,0.01502119985074359,8.2563070008870685e-19,0.008163073202755939,0.007396623868518252,0.0003151210640733009,P. Sarr,ADU,0.4861856261705281,2.672288385061121e-17,0.2642111746060878,0.23940379216014504,0.01019940706323914
33,0.008224407281528108,0.011778332085438973,0.0007566655470629928,0.00442489322295862,0.005075444607851903,J. Lastimosa,ADU,0.2717936947078111,0.3892409854491319,0.025005683407272432,0.14623036488679608,0.1677292715489885
35,0.005750865885063708,0.005264839043841871,0.013051643813057665,7.598559050754308e-17,0.006212065381963975,J. Espeleta,ADU,0.18992659043951837,0.1738751952826428,0.4310401700521688,2.509480209773874e-15,0.20515804422566744
38,0.020176645298507424,5.591859824834731e-20,0.005421185112413991,5.577572090303894e-09,0.00099935058982869,S. Camacho,ADU,0.7586007354233557,2.1024253104244975e-18,0.20382550975645222,2.0970534134801485e-07,0.037573545114850684
56,0.0003660335231866368,0.02414414778012841,0.001906967926404155,7.87786341270626e-10,0.0026905079396054546,J. Pingoy,ADU,0.012575162306976844,0.8294775146699839,0.06551430311617644,2.706457326217721e-08,0.09243299284228959
64,0.013602049921335877,0.0027172928682466717,0.0018662212528009763,0.014952696644234372,0.0006381210776371713,C. Catapusan,ADU,0.4027089111045837,0.08044949536668054,0.05525225483968103,0.44269681544334444,0.018892523245710207
68,0.023388631655112017,0.00037003989358682255,0.001766647970167309,5.580402795595219e-17,4.3106027163878396e-69,V. Magbuhos,ADU,0.9162914351698938,0.014496974007056785,0.06921159082304724,2.1862225040789976e-15,1.6887556346559338e-67
71,0.0027810423219844557,0.006293003320184275,1.5195546885620193e-37,0.005296764989645865,0.019227787475700347,E. Mojica,ADU,0.08277257024490033,0.1872995801803031,4.52267289158753e-36,0.1576483927304439,0.5722794568443527
