p_id_retained,player,team,neighbors
0,A. Pasaol,UE,"[65, 34, 43, 14, 15, 25, 27, 28]"
1,A. Melecio,DLSU,"[2, 3, 5, 42, 17, 18, 22, 61]"
2,R. Subido,UST,"[1, 37, 73, 42, 46, 49, 22, 60]"
3,D. Ildefonso,NU,"[1, 33, 34, 5, 7, 40, 9, 43, 79, 62, 31]"
4,J. Ahanmisi,ADU,"[42, 44, 46, 78, 17, 19]"
5,Ju. Gomez de Liaño,UP,"[1, 34, 3, 35, 7, 9, 10, 75, 18, 22, 26, 61]"
6,B. Akhuetie,UP,"[68, 72, 80, 16, 52, 54]"
7,P. Desiderio,UP,"[33, 3, 5, 40, 9, 10, 73, 46, 79, 61, 31]"
8,M. Lee,UST,"[69, 71, 47, 50, 51, 30]"
9,S. Manganti,ADU,"[3, 5, 7, 46, 19, 61, 31]"
10,J. Clemente,NU,"[66, 5, 7, 40, 73, 79, 22]"
11,J. Baltazar,DLSU,"[64, 67, 74, 12, 13, 78, 57, 28]"
12,P. Sarr,ADU,"[36, 74, 11, 13, 57, 58, 28]"
13,L. Santillian,DLSU,"[11, 12, 24, 57, 28, 62]"
14,T. Ravena,ADMU,"[0, 39, 43, 15, 25]"
15,P. Manalang,UE,"[0, 33, 39, 43, 14, 20]"
16,A. Kouame,ADMU,"[68, 38, 6, 72, 25, 29]"
17,A. Caracut,DLSU,"[1, 67, 4, 42, 44, 78, 19, 24, 61]"
18,H. Cani,FEU,"[1, 35, 5, 22, 26, 61]"
19,W. Comboy,FEU,"[4, 9, 76, 46, 17, 61]"
20,A. Tolentino,FEU,"[33, 70, 39, 42, 15, 56, 60]"
21,C. Cansino,UST,"[65, 34, 40, 77, 58, 27, 31]"
22,J. Varilla,UE,"[1, 66, 2, 5, 10, 49, 18]"
23,Z. Huang,UST,"[64, 76, 45, 53, 59]"
24,R. Verano,ADMU,"[67, 74, 44, 13, 17, 26, 62]"
25,J. Manzo,UP,"[0, 65, 14, 16, 28]"
26,J. Parker,FEU,"[35, 5, 43, 75, 18, 55, 24]"
27,Ja. Gomez de Liaño,UP,"[0, 65, 34, 40, 21]"
28,R. Escoto,FEU,"[0, 65, 11, 43, 13, 12, 25, 62, 57]"
29,S. Ildefonso,NU,"[65, 38, 72, 48, 16]"
30,A. Asistio,ADMU,"[66, 69, 71, 8, 73, 50, 51]"
31,F. Serrano,DLSU,"[34, 3, 7, 9, 77, 21, 58]"
32,T. Rike,NU,"[35, 36, 41, 75, 81, 55, 63]"
33,J. Lastimosa,ADU,"[3, 7, 39, 43, 15, 20, 60]"
34,C. Conner,UE,"[0, 65, 3, 5, 40, 77, 21, 27, 31]"
35,J. Espeleta,ADU,"[32, 5, 75, 18, 26]"
36,I. Gaye,NU,"[32, 41, 12, 81, 63]"
37,K. Zamora,UST,"[2, 70, 49, 56, 60]"
38,S. Camacho,ADU,"[68, 72, 16, 48, 29]"
39,I. Go,ADMU,"[33, 70, 43, 14, 15, 20, 55, 60]"
40,M. Nieto,ADMU,"[34, 3, 7, 73, 10, 77, 79, 21, 27]"
41,W. Bartolome,UE,"[32, 36, 48, 81, 63]"
42,T. Tio,ADMU,"[1, 2, 4, 17, 20, 56]"
43,W. Navarro,ADMU,"[0, 33, 3, 39, 75, 14, 15, 55, 26, 28, 62]"
44,J. Gallego,NU,"[67, 4, 78, 17, 24]"
45,K. Montalbo,DLSU,"[64, 76, 53, 23, 59]"
46,A. Inigo,FEU,"[2, 4, 7, 9, 19, 61]"
47,K. Tuffin,FEU,"[69, 71, 8, 77, 50]"
48,G. Mahinay,UST,"[38, 41, 81, 29, 63]"
49,J. Mendoza,ADMU,"[2, 66, 37, 73, 22, 60]"
50,D. Yu,NU,"[69, 71, 8, 47, 51, 30]"
51,B. Bienes,FEU,"[66, 69, 71, 8, 73, 50, 30]"
52,B. Ebona,FEU,"[68, 6, 72, 80, 54]"
53,A. Joson,NU,"[64, 76, 45, 23, 59]"
54,P. Orizu,FEU,"[68, 6, 72, 80, 52]"
55,S. Belangel,ADMU,"[32, 39, 43, 75, 26]"
56,J. Pingoy,ADU,"[37, 70, 42, 20, 60]"
57,M. Dyke,DLSU,"[64, 74, 11, 12, 13, 58, 28]"
58,A. Stockton,FEU,"[74, 12, 21, 57, 31]"
59,J. Marcos,UST,"[64, 76, 45, 78, 53, 23]"
60,A. Wong,ADMU,"[33, 2, 37, 70, 39, 49, 20, 56]"
61,J. Manuel,DLSU,"[1, 5, 7, 9, 46, 17, 18, 19]"
62,J. Cullar,UE,"[3, 43, 13, 78, 24, 28]"
63,E. Caunan,UST,"[32, 36, 41, 48, 81]"
64,C. Catapusan,ADU,"[11, 45, 78, 53, 23, 57, 59]"
65,A. Diputado,NU,"[0, 34, 21, 25, 27, 28, 29]"
66,M. Maloles,UE,"[73, 10, 49, 51, 22, 30]"
67,L. Gonzales,FEU,"[74, 11, 44, 78, 17, 24]"
68,V. Magbuhos,ADU,"[6, 38, 72, 80, 16, 52, 54]"
69,J. Go,DLSU,"[71, 8, 47, 50, 51, 30]"
70,J. Nieto,ADMU,"[37, 39, 20, 56, 60]"
71,E. Mojica,ADU,"[69, 8, 47, 50, 51, 30]"
72,D. Murrell,UP,"[68, 38, 6, 16, 80, 52, 54, 29]"
73,D. Dario,UP,"[2, 66, 7, 40, 10, 79, 49, 51, 30]"
74,J. Sinclair,NU,"[67, 11, 12, 24, 57, 58]"
75,M. Aquino,NU,"[32, 35, 5, 43, 55, 26]"
76,G. Mamuyac,ADMU,"[45, 19, 53, 23, 59]"
77,F. Jaboneta,UP,"[34, 40, 47, 21, 31]"
78,I. Batalier,UST,"[64, 67, 4, 11, 44, 17, 59, 62]"
79,C. Vito,UP,"[3, 7, 40, 73, 10]"
80,S. Akomo,UST,"[68, 6, 72, 52, 54]"
81,R. Acuno,UE,"[32, 36, 41, 48, 63]"
