"","rank","sparseness.basis","sparseness.coef","rss","evar","silhouette.coef","silhouette.basis","residuals","niter","cpu","cpu.all","nrun","cophenetic","dispersion","silhouette.consensus"
"1",1,0.00156683095392875,NA,0.000356739309343231,0.654401590118067,NA,NA,1.55910590069341,60,0.0919999999999996,25.719,30,NA,1,NA
"2",2,0.150998412122794,0.339515723304977,0.000341277045704437,0.669380970261456,1,1,1.5135427088034,2000,2.738,127.388,30,0.986298567119961,0.895319571905174,0.949428058091902
"3",3,0.213849741501833,0.396976476505126,0.000329013683706789,0.681261349841706,0.721796119974442,0.654179338822377,1.4729063620998,2000,3.573,155.489,30,0.804877311424353,0.416808354467377,0.453403423049323
"4",4,0.287977108979397,0.418056552911512,0.000317732855120212,0.692189880338806,0.569642101252624,0.652934786370849,1.43466107541051,2000,6.948,188.919,30,0.739550368993176,0.456342436266885,0.308764740410057
"5",5,0.349680482510809,0.4412799344636,0.000309826703129722,0.699849124735585,0.508111277450496,0.557895184162662,1.39967430457018,2000,8.169,220.374,30,0.727900857957959,0.509982513975827,0.274017129433516
"6",6,0.388093783536417,0.463691613750759,0.000299220844089058,0.710123764854818,0.468374975363657,0.491814754173261,1.36780731081389,2000,5.346,243.324,30,0.67536958388006,0.545493900101033,0.187111338502279
"7",7,0.428347807835651,0.477472931759213,0.000289943191095881,0.719111678543896,0.418810886690117,0.48514865548502,1.33609010116501,2000,10.375,274.249,30,0.659519253087544,0.584325802340973,0.165595637823118
"8",8,0.472397412250608,0.486457503277192,0.000282642824322789,0.726184056278159,0.407290720072134,0.475130625320629,1.30720458188176,2000,10.752,311.282,30,0.636066422105213,0.615045267204568,0.128375826709042
"9",9,0.503307210160382,0.494884474772658,0.000275959941143823,0.732658234311215,0.389230082365022,0.457903709864046,1.27923493346045,2000,12.543,353.724,30,0.653712887851105,0.648092458847901,0.12920433453125
"10",10,0.533772548440174,0.501805793336353,0.000267300024941172,0.74104770300996,0.357740226716806,0.43568892641148,1.25262737929594,2000,14.328,379.191,30,0.636185903580316,0.675606054544461,0.122379700576119
