,player,neighbors
0,A. Pasaol,"[65, 33, 43, 14, 15, 25, 26, 28]"
1,A. Melecio,"[2, 3, 5, 75, 17, 18, 19, 22, 61]"
2,R. Subido,"[1, 37, 74, 42, 46, 49, 22, 60]"
3,D. Ildefonso,"[1, 33, 34, 5, 7, 40, 9, 43, 79, 30, 63]"
4,J. Ahanmisi,"[42, 44, 46, 78, 17, 19]"
5,Ju. Gomez de Liaño,"[1, 33, 3, 35, 9, 10, 75, 18, 22, 27, 61]"
6,B. Akhuetie,"[68, 38, 72, 80, 16, 53, 54]"
7,P. Desiderio,"[34, 3, 40, 9, 10, 74, 46, 79, 61, 30]"
8,M. Lee,"[69, 71, 47, 50, 51, 31]"
9,S. Manganti,"[3, 5, 7, 46, 17, 19, 61, 30]"
10,J. Clemente,"[66, 5, 7, 40, 74, 79, 22]"
11,J. Baltazar,"[64, 67, 73, 12, 13, 78, 57, 28]"
12,P. Sarr,"[36, 73, 11, 13, 48, 57]"
13,L. Santillian,"[67, 11, 12, 24, 57, 28, 63]"
14,T. Ravena,"[0, 39, 43, 15, 25]"
15,P. Manalang,"[0, 34, 39, 43, 14, 20]"
16,A. Kouame,"[68, 6, 72, 80, 53, 25, 29]"
17,A. Caracut,"[1, 67, 4, 9, 42, 44, 78, 19, 24, 61]"
18,H. Cani,"[1, 35, 5, 22, 27, 61]"
19,W. Comboy,"[1, 4, 9, 46, 17, 61]"
20,A. Tolentino,"[34, 70, 39, 42, 15, 56, 60]"
21,C. Cansino,"[33, 65, 58, 40, 77, 26, 30]"
22,J. Varilla,"[1, 66, 2, 5, 10, 18]"
23,Z. Huang,"[64, 76, 45, 52, 59]"
24,R. Verano,"[67, 73, 44, 13, 17, 27, 63]"
25,J. Manzo,"[0, 65, 14, 16, 28]"
26,Ja. Gomez de Liaño,"[0, 33, 65, 40, 21, 58]"
27,J. Parker,"[32, 35, 5, 43, 75, 18, 55, 24]"
28,R. Escoto,"[0, 65, 43, 11, 13, 25, 57, 63]"
29,S. Ildefonso,"[65, 38, 72, 48, 16]"
30,F. Serrano,"[33, 3, 7, 9, 77, 21, 58]"
31,A. Asistio,"[66, 69, 71, 8, 74, 50, 51]"
32,T. Rike,"[35, 36, 41, 75, 81, 55, 27, 62]"
33,C. Conner,"[0, 65, 3, 5, 40, 77, 21, 26, 30]"
34,J. Lastimosa,"[3, 7, 39, 43, 15, 20, 60]"
35,J. Espeleta,"[32, 5, 75, 18, 27]"
36,I. Gaye,"[32, 41, 12, 81, 62]"
37,K. Zamora,"[2, 70, 49, 56, 60]"
38,S. Camacho,"[68, 6, 72, 48, 29]"
39,I. Go,"[34, 70, 43, 14, 15, 20, 55, 60]"
40,M. Nieto,"[33, 3, 7, 10, 74, 77, 79, 21, 26]"
41,W. Bartolome,"[32, 36, 48, 81, 62]"
42,T. Tio,"[2, 4, 17, 20, 56]"
43,W. Navarro,"[0, 34, 3, 39, 75, 14, 15, 55, 27, 28, 63]"
44,J. Gallego,"[67, 4, 78, 17, 24]"
45,K. Montalbo,"[64, 76, 52, 23, 59]"
46,A. Inigo,"[2, 4, 7, 9, 19, 61]"
47,K. Tuffin,"[69, 71, 8, 77, 50]"
48,G. Mahinay,"[38, 41, 12, 81, 29, 62]"
49,J. Mendoza,"[66, 2, 37, 74, 60]"
50,D. Yu,"[69, 8, 47, 51, 31]"
51,B. Bienes,"[66, 69, 71, 8, 74, 50, 31]"
52,A. Joson,"[64, 76, 45, 23, 58, 59]"
53,B. Ebona,"[68, 6, 72, 80, 16, 54]"
54,P. Orizu,"[68, 6, 72, 80, 53]"
55,S. Belangel,"[32, 39, 43, 75, 27]"
56,J. Pingoy,"[37, 70, 42, 20, 60]"
57,M. Dyke,"[64, 73, 11, 12, 13, 58, 28]"
58,A. Stockton,"[73, 52, 21, 57, 26, 59, 30]"
59,J. Marcos,"[64, 76, 45, 78, 52, 23, 58]"
60,A. Wong,"[2, 34, 37, 70, 39, 49, 20, 56]"
61,J. Manuel,"[1, 5, 7, 9, 46, 17, 18, 19]"
62,E. Caunan,"[32, 36, 41, 48, 81]"
63,J. Cullar,"[3, 43, 13, 78, 24, 28]"
64,C. Catapusan,"[11, 76, 45, 78, 52, 23, 57, 59]"
65,A. Diputado,"[0, 33, 21, 25, 26, 28, 29]"
66,M. Maloles,"[10, 74, 49, 51, 22, 31]"
67,L. Gonzales,"[73, 11, 44, 13, 78, 17, 24]"
68,V. Magbuhos,"[6, 38, 72, 80, 16, 53, 54]"
69,J. Go,"[71, 8, 47, 50, 51, 31]"
70,J. Nieto,"[37, 39, 20, 56, 60]"
71,E. Mojica,"[69, 8, 47, 51, 31]"
72,D. Murrell,"[68, 38, 6, 80, 16, 53, 54, 29]"
73,J. Sinclair,"[67, 11, 12, 24, 57, 58]"
74,D. Dario,"[2, 66, 7, 40, 10, 79, 49, 51, 31]"
75,M. Aquino,"[32, 1, 35, 5, 43, 55, 27]"
76,G. Mamuyac,"[64, 45, 52, 23, 59]"
77,F. Jaboneta,"[33, 40, 47, 21, 30]"
78,I. Batalier,"[64, 67, 4, 11, 44, 17, 59, 63]"
79,C. Vito,"[3, 7, 40, 74, 10]"
80,S. Akomo,"[68, 6, 72, 16, 53, 54]"
81,R. Acuno,"[32, 36, 41, 48, 62]"
