p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
18,H. Cani,FEU,0.21583746907128065,0.14787012854988013,0.2867828948078185,0.0873051145905347,0.2622043929804861
19,W. Comboy,FEU,0.11679344297391175,0.2189460483840069,0.11690115079376068,0.2903311138633172,0.2570282439850035
20,A. Tolentino,FEU,0.2271390573128689,0.5932628789734317,0.07272186681982243,0.10687619339614947,3.497727596625218e-09
26,J. Parker,FEU,0.3057245476821175,0.20199384518193225,0.2817730154114607,0.029043410308261637,0.18146518141622792
28,R. Escoto,FEU,0.4510173510980933,0.19558883459623255,0.17042153906365431,0.1179471805744272,0.0650250946675927
46,A. Inigo,FEU,0.11251381094588568,0.2665498206903392,0.031045588272136344,0.28521602373235244,0.3046747563592865
47,K. Tuffin,FEU,0.1567293872020803,0.05519585300203698,8.291759245769288e-30,0.03112090821663533,0.7569538515792474
51,B. Bienes,FEU,0.11023111805722133,0.2854815841347685,0.06266835859534975,1.0155284950202747e-17,0.5416189392126604
52,B. Ebona,FEU,0.9903074766486236,1.7918888010893532e-17,0.009684364192063687,8.159159312647888e-06,4.4860817045773e-25
54,P. Orizu,FEU,0.9999999999999823,4.8744281034328816e-42,2.5495164449327964e-39,1.4941690492626794e-14,2.6566733821470853e-15
58,A. Stockton,FEU,0.5186997031700533,1.139822360003484e-09,0.04383350436049112,0.23855564460477285,0.19891114672486016
67,L. Gonzales,FEU,0.2717116663323042,0.14841333814151578,0.2437764398418314,0.26648213839528145,0.06961641728906723
